id,ident,normalized,timestamp,channel,pattern,filename,request_raw,request_url,attackerIP,attackerPort,victimPort,victimIP,connectionType,connectionProtocol,priority,header,signature,sensor,connectionTransport,remoteHostname
584e34479f8c6d649a38e79f,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-12T05:23:19.003+0000,dionaea.connections,,,,,122.116.84.64,33499.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
566b07f29f8c6d649a30df2d,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-12-11T17:29:22.893+0000,dionaea.connections,,,,,::ffff:82.220.39.14,5076.0,5060.0,::,connect,SipSession,,,,,udp,
54350f4c9f8c6d41306b3929,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-08T10:17:48.718+0000,amun.events,,,,,61.153.106.24,27181.0,135.0,172.31.13.124,initial,,,,,,,
57520e429f8c6d649a325810,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,True,2016-06-03T23:09:54.043+0000,snort.alerts,,,,,0.0.0.0,,,255.255.255.255,Potentially Bad Traffic,UDP,2,1:527:8,BAD-TRAFFIC same SRC/DST,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,,
586dfb669f8c6d649a3bdcbd,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-05T07:53:10.153+0000,dionaea.connections,,,,,1.162.171.184,6000.0,8118.0,162.244.30.100,reject,pcap,,,,,tcp,
5647a4909f8c6d649a300b38,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-11-14T21:16:00.195+0000,dionaea.connections,,,,,5.152.216.226,55892.0,42853.0,162.244.30.100,reject,pcap,,,,,tcp,
54b48d929f8c6d3afa838958,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-01-13T03:14:26.179+0000,amun.events,,,,,180.162.47.13,2590.0,3389.0,172.31.13.124,initial,,,,,,,
58b487e89f8c6d649a3f396b,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-02-27T20:11:20.977+0000,dionaea.connections,,,,,::ffff:115.231.217.102,62080.0,3306.0,::ffff:162.244.30.100,accept,mysqld,,,,,tcp,
565830689f8c6d649a3071a8,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-11-27T10:28:56.488+0000,dionaea.connections,,,,,::ffff:88.150.252.176,5066.0,5060.0,::,connect,SipSession,,,,,udp,
584d72209f8c6d649a378d8f,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-11T15:34:56.578+0000,dionaea.connections,,,,,163.172.67.30,50904.0,26035.0,162.244.30.100,reject,pcap,,,,,tcp,
54f144229f8c6d649a275998,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-02-28T04:29:22.638+0000,amun.events,,,,,5.9.253.163,2406.0,3389.0,172.31.14.66,initial,,,,,,,
57a5c8049f8c6d649a3454d0,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,True,2016-08-06T11:20:36.566+0000,snort.alerts,,,,,0.0.0.0,,,255.255.255.255,Potentially Bad Traffic,UDP,2,1:527:8,BAD-TRAFFIC same SRC/DST,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,,
548fde2a9f8c6d3afa8305ca,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-12-16T07:24:26.516+0000,amun.events,,,,,54.169.153.72,52839.0,443.0,172.31.13.124,initial,,,,,,,
558edb1d9f8c6d649a2ce711,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-27T17:19:25.974+0000,amun.events,,,,,74.208.99.60,60385.0,25.0,172.31.14.66,initial,,,,,,,
57db10fd9f8c6d649a359733,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-09-15T21:22:05.885+0000,dionaea.connections,,,,,111.251.94.37,6000.0,8118.0,162.244.30.100,reject,pcap,,,,,tcp,
5571b45f9f8c6d649a2bddf3,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-05T14:38:23.124+0000,dionaea.connections,,,,,182.41.84.198,34437.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
58b3f38c9f8c6d649a3f315d,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-02-27T09:38:20.882+0000,dionaea.connections,,,,,1.162.175.104,6000.0,8118.0,162.244.30.100,reject,pcap,,,,,tcp,
544a12329f8c6d41306d4d3c,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-24T08:47:46.838+0000,amun.events,,,,,71.190.176.162,3108.0,110.0,172.31.14.66,initial,,,,,,,
58833e1f9f8c6d649a3e6a96,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-21T10:55:27.874+0000,dionaea.connections,,,,,162.254.205.73,40028.0,42851.0,162.244.30.100,reject,pcap,,,,,tcp,
558c84579f8c6d649a2cd0ad,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-06-25T22:44:39.353+0000,amun.events,,,,,198.154.63.131,35120.0,80.0,172.31.13.124,initial,,,,,,,
57e2cd009f8c6d649a35d9a1,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-09-21T18:10:08.048+0000,dionaea.connections,,,,,::ffff:82.205.24.141,14155.0,5060.0,::,connect,SipSession,,,,,udp,
5850e9559f8c6d649a390a21,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-14T06:40:21.349+0000,dionaea.connections,,,,,219.85.50.167,6634.0,2323.0,162.244.30.100,reject,pcap,,,,,tcp,
54842efb9f8c6d41306eb9ce,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-12-07T10:42:03.763+0000,amun.events,,,,,50.243.3.241,49353.0,25.0,172.31.13.124,initial,,,,,,,
5879aefe9f8c6d649a3caac2,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-14T04:54:22.600+0000,dionaea.connections,,,,,14.187.178.37,28471.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
5666901b9f8c6d649a30ce37,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-12-08T08:08:59.783+0000,dionaea.connections,,,,,58.218.204.225,35417.0,3128.0,162.244.30.100,reject,pcap,,,,,tcp,
5861fed09f8c6d649a3b24b2,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-27T05:40:32.470+0000,dionaea.connections,,,,,220.133.215.89,16663.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
54df3b4d9f8c6d649a270ec2,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-02-14T12:10:53.493+0000,amun.events,,,,,194.63.142.218,51808.0,110.0,172.31.14.66,initial,,,,,,,
577d53369f8c6d649a337afc,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,True,2016-07-06T18:51:34.856+0000,snort.alerts,,,,,0.0.0.0,,,255.255.255.255,Potentially Bad Traffic,UDP,2,1:527:8,BAD-TRAFFIC same SRC/DST,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,,
559832f29f8c6d649a2d688d,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-07-04T19:24:34.461+0000,amun.events,,,,,222.186.21.41,3162.0,8080.0,172.31.13.124,initial,,,,,,,
576b1fef9f8c6d649a32fb57,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,True,2016-06-22T23:31:59.899+0000,snort.alerts,,,,,0.0.0.0,,,255.255.255.255,Potentially Bad Traffic,UDP,2,1:527:8,BAD-TRAFFIC same SRC/DST,3cc23d7a-c1ba-11e4-9ee4-0a0b6e7c3e9e,,
568140e89f8c6d649a314436,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-12-28T14:02:16.444+0000,dionaea.connections,,,,,111.160.192.77,8079.0,3389.0,162.244.30.100,reject,pcap,,,,,tcp,
560d53d69f8c6d649a2f12a2,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-10-01T15:40:06.120+0000,dionaea.connections,,,,,222.186.56.39,6000.0,2230.0,162.244.30.100,reject,pcap,,,,,tcp,
